Date,Contract,Expiry,Strike,Type,Price,Price_Source,Settlement,Bid,Ask,Days_To_Expiry,T,Futures_Product,Forward,Futures_Contract,Forward_Source,IV,OTM,Plot_Eligible
2026-09-23,202609W5,2026-09-30,40900.0,C,7190.0,settlement,7190.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,40900.0,P,2.2,settlement,2.2,1.7,2.3,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.4240871503795781,True,True
2026-09-23,202609W5,2026-09-30,41000.0,C,7090.0,settlement,7090.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41000.0,P,2.2,settlement,2.2,0.5,12.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.41828750329273345,True,True
2026-09-23,202609W5,2026-09-30,41100.0,C,6990.0,settlement,6990.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41100.0,P,2.3,settlement,2.3,0.2,12.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.41430803058602755,True,True
2026-09-23,202609W5,2026-09-30,41200.0,C,6890.0,settlement,6890.0,6840.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41200.0,P,2.4,settlement,2.4,0.2,3.0,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.410236356534264,True,True
2026-09-23,202609W5,2026-09-30,41300.0,C,6790.0,settlement,6790.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41300.0,P,2.5,settlement,2.5,2.1,2.7,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.4060786345498292,True,True
2026-09-23,202609W5,2026-09-30,41400.0,C,6690.0,settlement,6690.0,6590.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41400.0,P,2.6,settlement,2.6,2.2,2.8,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.4018403427429127,True,True
2026-09-23,202609W5,2026-09-30,41500.0,C,6590.0,settlement,6590.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41500.0,P,2.7,settlement,2.7,2.3,2.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.39752637839431254,True,True
2026-09-23,202609W5,2026-09-30,41600.0,C,6490.0,settlement,6490.0,6440.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41600.0,P,2.8,settlement,2.8,2.6,3.1,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3931411359760841,True,True
2026-09-23,202609W5,2026-09-30,41700.0,C,6390.0,settlement,6390.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41700.0,P,3.0,settlement,3.0,2.7,2.8,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.39006553575950736,True,True
2026-09-23,202609W5,2026-09-30,41800.0,C,6290.0,settlement,6290.0,6240.0,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41800.0,P,3.2,settlement,3.2,2.8,3.4,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.3867945173953376,True,True
2026-09-23,202609W5,2026-09-30,41900.0,C,6190.0,settlement,6190.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
2026-09-23,202609W5,2026-09-30,41900.0,P,3.3,settlement,3.3,2.8,3.5,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,0.38212461669282793,True,True
2026-09-23,202609W5,2026-09-30,42000.0,C,6090.0,settlement,6090.0,,,7,0.019178082191780823,MTX,48122.0,202609W5,same expiry MTX 202609W5,,False,False
