Date,Expiration_Month,Expiration_Date,Days_to_Exp,Forward,K0,VIX
2026-07-31,202608W1,2026-08-05,5.0,43200.0,43200.0,41.1391
2026-07-31,202608F1,2026-08-07,7.0,43365.0029,43350.0,44.0009
2026-07-31,202608W2,2026-08-12,12.0,43307.4696,43300.0,39.2272
2026-07-31,202608F2,2026-08-14,14.0,43500.0,43500.0,36.9152
2026-07-31,202608  ,2026-08-19,19.0,43700.0,43700.0,41.9115
2026-07-31,202609  ,2026-09-16,47.0,43889.9871,43800.0,44.956
2026-07-31,202610  ,2026-10-21,82.0,43910.2474,43900.0,35.5699
2026-07-31,202612  ,2026-12-16,138.0,44359.8485,44200.0,36.6397
2026-07-31,202703  ,2027-03-17,229.0,45055.3462,45000.0,33.574
2026-08-03,202608W1,2026-08-05,2.0,43117.4955,43100.0,49.9912
2026-08-03,202608F1,2026-08-07,4.0,43220.0022,43200.0,53.3701
2026-08-03,202608W2,2026-08-12,9.0,43170.0049,43150.0,40.6406
2026-08-03,202608F2,2026-08-14,11.0,43264.3893,43250.0,41.2288
2026-08-03,202608  ,2026-08-19,16.0,43334.9277,43300.0,44.1174
2026-08-03,202609  ,2026-09-16,44.0,43379.9759,43300.0,42.9771
2026-08-03,202610  ,2026-10-21,79.0,43569.935,43500.0,34.7958
2026-08-03,202612  ,2026-12-16,135.0,43870.2594,43800.0,36.4769
2026-08-03,202703  ,2027-03-17,226.0,44460.3727,44400.0,33.0929
2026-08-04,202608W1,2026-08-05,1.0,43357.5002,43350.0,47.226
2026-08-04,202608F1,2026-08-07,3.0,43362.501,43350.0,49.3512
2026-08-04,202608W2,2026-08-12,8.0,43339.9978,43300.0,39.9195
2026-08-04,202608F2,2026-08-14,10.0,43320.0055,43300.0,40.7105
2026-08-04,202608  ,2026-08-19,15.0,43405.0021,43400.0,44.4067
2026-08-04,202609  ,2026-09-16,43.0,43479.9764,43400.0,42.6139
2026-08-04,202610  ,2026-10-21,78.0,43669.9358,43600.0,34.939
2026-08-04,202612  ,2026-12-16,134.0,43939.7793,43800.0,36.6689
2026-08-04,202703  ,2027-03-17,225.0,44574.8454,44400.0,33.2124
